GPST,Sequence,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2023-02-14 07:25:17.133377,35.0,-31.994587149088748,115.88353495447264,54.912165836544,2.0,10.0,0.0049595222491428574,0.0042976112457142855,0.018433311488,-0.0003118782354285714,-0.0011951569554285715,0.005197611245714286,0.32382200685714285,1.4404777508571427
2023-02-14 07:25:19.630493,36.0,-31.994509158756735,115.8836613976763,54.873873803190854,2.0,10.0,0.0049,0.004,0.017445035209142857,0.0007,0.0019225176045714286,0.0048,0.18014083657142857,1.4774823954285714
2023-02-14 07:25:22.123859,37.0,-31.994431649827316,115.88378764937082,54.839632987392,2.0,10.0,0.0049,0.004,0.01740884706742857,0.0007,0.002004423533714286,0.0048,0.035388269714285714,1.4
2023-02-14 07:25:24.632061,38.0,-31.99435366176555,115.88391505259482,54.822075573504,2.0,10.0,0.0049,0.004,0.017588004352,0.0007,0.002094002176,0.0048,0.7520174079999999,1.4
2023-02-14 07:25:27.154522,39.0,-31.994275577896126,115.8840439293601,54.82668599144229,2.0,10.0,0.0049,0.004,0.01755389443657143,0.0007,0.0021,0.0048,0.6155777462857143,1.4
2023-02-14 07:25:29.633456,40.0,-31.99419867585582,115.88416950386429,54.82347406588343,2.0,10.0,0.0049,0.004,0.017516675437714287,0.0007583377188571429,0.002158337718857143,0.004858337718857143,0.4667017508571428,1.3416622811428571
2023-02-14 07:25:32.128946,41.0,-31.99412099179527,115.88429565291915,54.80139163021715,2.0,10.0,0.0049,0.004080638994285714,0.017762875474285712,0.0006596805028571428,0.0008904150857142856,0.004880638994285714,0.32255597714285716,1.3596805028571428
2023-02-14 07:25:34.649574,42.0,-31.99404247697901,115.88442360191814,54.80117924103314,2.0,10.0,0.0049,0.004076800932571429,0.017976800932571427,0.0006231990674285714,0.0006247869439999999,0.004976800932571429,0.18559253942857143,1.3768009325714285
2023-02-14 07:25:37.140879,43.0,-31.993965750415054,115.8845510407785,54.79192073762743,2.0,10.0,0.0049,0.004,0.0177,0.0007,0.001710062793142857,0.0049,0.04025117257142857,1.4
2023-02-14 07:25:39.630328,44.0,-31.993887493697905,115.88467657035322,54.822327578495994,2.0,10.0,0.0049,0.004,0.0177,0.0007,0.001887880576,0.0049,0.751522304,1.4
2023-02-14 07:25:42.127784,45.0,-31.993823532173383,115.8847817486251,54.778313146953145,2.0,10.0,0.004924007716571428,0.004196030866285714,0.018136108031999998,0.00026786110171428575,0.0006515987382857144,0.005044046299428571,0.6079382674285714,1.3759922834285714
2023-02-14 07:25:44.628889,46.0,-31.9937519613594,115.88476542691042,54.727620313563435,2.0,10.0,0.0049,0.004,0.01771634922057143,0.0007,0.0019163492205714287,0.0049,0.4653968822857143,1.3418253897142858
2023-02-14 07:25:47.126238,47.0,-31.99368249681402,115.88470047153591,54.708527473536,2.0,10.0,0.0049,0.004,0.017640222784,0.0007,0.002040222784,0.0049,0.321782272,1.359777216
2023-02-14 07:25:49.653084,48.0,-31.99367072946957,115.88462841718061,54.68994879739429,2.0,10.0,0.0049,0.004,0.017623324425142858,0.0007,0.002123324425142857,0.0049,0.18659540114285714,1.3766755748571429
2023-02-14 07:25:52.138117,49.0,-31.993739903020703,115.88451242812131,54.68435919305143,2.0,10.0,0.0049,0.004,0.017604932754285714,0.0007,0.002104932754285714,0.0049,0.039462034285714286,1.3049327542857143
2023-02-14 07:25:54.627044,50.0,-31.99381634596826,115.88438675597598,54.685425876041144,2.0,10.0,0.0049,0.004,0.01769382300342857,0.0007,0.0021938230034285714,0.0049,0.7505840274285714,1.3938230034285715
2023-02-14 07:25:57.137216,51.0,-31.993894855053163,115.88425910162971,54.68081456,2.0,10.0,0.004976329142857143,0.004,0.01782898742857143,0.0007,0.0019473417142857143,0.004976329142857143,0.6106331428571429,1.4
2023-02-14 07:25:59.633025,52.0,-31.99397289121166,115.88413229426075,54.697154490477715,2.0,10.0,0.0049,0.004,0.017758322322285715,0.0006583223222857142,0.002074966966857143,0.005,0.46657857828571425,1.4
2023-02-14 07:26:02.153531,53.0,-31.994051590156296,115.88400427018192,54.722811975314286,2.0,10.0,0.004941197531428572,0.004,0.017723592594285714,0.0007,0.0020588024685714284,0.004941197531428572,0.32958025142857145,1.4
2023-02-14 07:26:04.647535,54.0,-31.994129213494034,115.88387800766361,54.71037474925715,2.0,10.0,0.0049,0.004,0.017746252507428572,0.0007,0.0020462525074285715,0.005,0.1850100297142857,1.4
2023-02-14 07:26:07.147357,55.0,-31.994206796165344,115.88375136510854,54.68543679243886,2.0,10.0,0.0049,0.004,0.017705262747428573,0.0007,0.0021052627474285714,0.005,0.042101979428571426,1.4
2023-02-14 07:26:09.648855,56.0,-31.99428536286069,115.88362464278777,54.696246837851426,2.0,10.0,0.0049,0.004,0.017794601965714286,0.0007,0.002194601965714286,0.005,0.7568157257142857,1.4
2023-02-14 07:26:12.152338,57.0,-31.994362969620315,115.88349771346745,54.65824016274286,2.0,10.0,0.0049,0.004,0.01777686921142857,0.0007,0.0022768692114285716,0.005,0.6149536914285714,1.3231307885714285
2023-02-14 07:26:14.646170,58.0,-31.994439885682382,115.88337061822716,54.685938076489144,2.0,10.0,0.004958791789714286,0.004,0.017935167158857145,0.0006412082102857143,0.0020824164205714285,0.005058791789714286,0.4703343177142857,1.4
2023-02-14 07:26:17.122915,59.0,-31.994516550122356,115.88324484134085,54.74705618644114,2.0,10.0,0.004940104109714285,0.004,0.0179,0.0006401041097142857,0.0020802082194285717,0.005059895890285715,0.3208328777142857,1.4
2023-02-14 07:26:19.636978,60.0,-31.994569364223423,115.8831457229599,54.81992289741714,2.0,10.0,0.004922749211428571,0.004,0.017768247634285715,0.0007,0.0022,0.005022749211428572,0.1819936914285714,1.3772507885714285
2023-02-14 07:26:22.131075,61.0,-31.994536689518018,115.88312658484007,54.73670277642971,2.0,10.0,0.004904681252571428,0.004004681252571429,0.017818725010285714,0.0007,0.002109362505142857,0.005004681252571429,0.03745002057142857,1.3046812525714286
2023-02-14 07:26:24.649367,62.0,-31.994403940455094,115.88312888727845,54.78670885979429,2.0,10.0,0.0049946202514285715,0.004094620251428572,0.018178481005714286,0.0007,0.0022892405028571428,0.005094620251428572,0.7569620114285714,1.3946202514285713
2023-02-14 07:26:27.150931,63.0,-31.994271333055845,115.88313074764321,54.874961772287996,2.0,10.0,0.004976818962285715,0.004153637924571428,0.018537732736000002,0.0005463620754285715,0.0017622672640000001,0.005253637924571428,0.6145516982857143,1.4768189622857142
2023-02-14 07:26:29.644243,64.0,-31.99413966210829,115.88313245863475,54.87279497493943,2.0,10.0,0.004958722962285714,0.004041277037714286,0.018182554075428573,0.0006174459245714285,0.0020523377737142858,0.005182554075428572,0.46978369828571426,1.5
2023-02-14 07:26:32.129068,65.0,-31.994008206523056,115.88313476605975,54.852493126765715,2.0,10.0,0.004940323858285714,0.004,0.017940323858285714,0.0007,0.0022806477165714287,0.0051,0.32259086628571426,1.4
2023-02-14 07:26:34.626759,66.0,-31.99390440902237,115.88314117893549,54.797949547702856,2.0,10.0,0.0049223842468571425,0.004255231506285715,0.018,0.0009552315062857143,0.0029656945188571426,0.0051,0.17907397485714285,1.477615753142857
2023-02-14 07:26:37.128557,67.0,-31.99389907199225,115.8831644464748,54.743461001179426,2.0,10.0,0.004904591323428571,0.004,0.017809182646857144,0.0008,0.0024,0.0051,0.03673058742857143,1.4
